,,,業務,,觀光,,探親,,會議,,求學,,展覽,,醫療,,其他,,
,,,Business,,Leisure,,Visit Relatives,,Conference,,Study,,Exhibition,,Medical Treatment,,Others,,
年別,月份,居住地,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,小計
Years,Months,Residence,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Total
103,2,秘魯(Peru),6,1,5,3,2,2,1,0,3,0,0,0,0,0,12,16,51
103,2,烏拉圭(Uruguay),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2,蘇利南(Suriname),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,蓋亞納(Guyana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,大洋洲地區(Oceania),766,128,1423,1345,561,396,65,24,38,30,12,12,28,19,740,481,6068
103,2,澳洲(Australia),655,96,1273,1188,437,311,58,18,32,26,10,12,6,1,609,381,5113
103,2,紐西蘭(New Zealand),102,27,138,148,114,83,4,6,6,3,2,0,3,0,115,76,827
103,2,裴濟(Fiji),3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,11
103,2,諾魯(Nauru),4,1,5,3,6,1,0,0,0,0,0,0,0,0,4,3,27
103,2,帛琉(Palau),0,2,2,0,0,0,0,0,0,0,0,0,17,18,3,12,54
103,2,東加(Tonga),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
103,2,巴布亞新幾內亞(Papua New Guinea),1,2,1,0,3,1,1,0,0,0,0,0,0,0,1,0,10
103,2,萬那杜(Vanuatu),0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4
103,2,馬紹爾(Marshall),0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,8
103,2,大溪地(Tahiti),1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4
103,2,密克羅尼西亞(Micronesian),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
103,2,歐洲地區(Europe),5532,604,3067,2101,794,573,173,59,627,493,49,23,3,3,4342,2491,20934
103,2,比利時(Belgium),143,3,52,33,6,12,2,1,21,8,0,0,0,0,58,21,360
103,2,法國(France),662,98,414,268,200,140,21,6,207,203,7,3,0,1,574,237,3041
103,2,德國(Germany),1461,113,677,395,156,104,40,7,124,63,6,3,0,0,673,372,4194
