Residence,Region,Sub-Region,Period,Business,Pleasure,Visit Relatives,Conference,Study,Exhibition,Medical Treatment,Others,Unstated
Unstated,,,2011-01,1,2,2,0,0,0,0,14,2474
France,Europe,,2011-01,1003,337,474,22,99,0,0,123,55
Germany,Europe,,2011-01,1835,511,627,46,62,0,0,129,151
Italy,Europe,,2011-01,517,144,137,26,10,0,0,56,43
Netherlands,Europe,,2011-01,531,278,211,11,15,0,0,61,32
Switzerland,Europe,,2011-01,228,114,108,5,4,0,0,19,12
Spain,Europe,,2011-01,160,66,102,6,15,0,0,28,16
United Kingdom,Europe,,2011-01,1512,1219,619,49,22,0,0,160,121
Belgium,Europe,,2011-01,135,61,61,8,7,0,0,16,17
Austria,Europe,,2011-01,170,95,122,2,10,0,0,29,15
Sweden,Europe,,2011-01,283,101,95,11,18,0,0,19,12
Russian Federation,Europe,,2011-01,159,93,85,11,18,0,0,44,24
"Others, Europe",Europe,,2011-01,807,528,301,21,49,0,0,217,153
Australia,Oceania,,2011-01,836,3035,1607,92,35,0,0,237,186
New Zealand,Oceania,,2011-01,168,346,347,15,4,0,0,57,21
"Others, Oceania",Oceania,,2011-01,7,10,20,5,6,0,0,12,10
S. Africa,Africa,,2011-01,209,56,136,0,6,0,0,30,15
Greece,Europe,,2011-01,32,3,9,0,1,0,0,17,5
"Others, America",America,,2011-01,101,107,163,15,146,0,0,69,47
"Others, Africa",Africa,,2011-01,132,10,52,15,21,0,0,30,42
Brazil,America,,2011-01,99,131,125,1,14,0,0,37,16
Argentina,America,,2011-01,11,17,24,1,2,0,0,13,15
HongKong. Macao,Asia,,2011-01,5936,25901,2406,614,116,0,0,5403,2549
Mainland China,Asia,,2011-01,6554,69384,12825,1322,166,0,0,6465,4638
Japan,Asia,,2011-01,23831,68640,4209,543,206,0,0,1373,2391
"Korea,Republic of",Asia,,2011-01,5280,13436,2306,275,311,0,0,1276,1432
Middle East,Asia,,2011-01,609,103,120,9,11,0,0,58,58
Malaysia,Asia,Southeast Asia,2011-01,1931,11076,1890,251,113,0,0,516,285
Singapore,Asia,Southeast Asia,2011-01,3778,8233,1364,242,51,0,0,404,323
India,Asia,,2011-01,1077,78,241,134,21,0,0,228,86
Philippines,Asia,Southeast Asia,2011-01,2405,946,886,81,34,0,0,1878,1765
Thailand,Asia,Southeast Asia,2011-01,1653,877,1452,41,49,0,0,420,1673
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,814,178,1777,19,64,0,0,734,2021
"Others, Asia",Asia,,2011-01,507,131,542,15,43,0,0,317,312
Canada,America,,2011-01,1124,2589,1579,48,35,0,0,197,189
United States of America,America,,2011-01,10633,7087,10932,259,296,0,0,1140,1270
Mexico,America,,2011-01,48,48,20,7,7,0,0,11,3
Indonesia,Asia,Southeast Asia,2011-01,1168,931,728,41,71,0,0,4600,3392
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,1277,646,3350,34,1382,0,0,896,2546
Brazil,America,,2011-02,95,37,59,0,13,0,0,18,16
Mexico,America,,2011-02,45,39,11,0,13,0,0,8,5
United States of America,America,,2011-02,9385,7029,8864,241,440,0,0,1481,918
Canada,America,,2011-02,1195,2522,1228,43,101,0,0,314,160
"Others, Asia",Asia,,2011-02,439,184,443,21,267,0,0,345,318
Thailand,Asia,Southeast Asia,2011-02,2072,1388,1653,51,314,0,0,668,2528
Japan,Asia,,2011-02,23174,74385,4499,529,764,0,0,1638,1981
Indonesia,Asia,Southeast Asia,2011-02,1079,1042,849,46,942,0,0,3206,2042
Singapore,Asia,Southeast Asia,2011-02,2977,9293,1221,184,190,0,0,736,440
Malaysia,Asia,Southeast Asia,2011-02,1991,14833,2387,197,5617,0,0,666,381
Middle East,Asia,,2011-02,558,101,96,14,37,0,0,73,54
India,Asia,,2011-02,999,45,308,60,97,0,0,282,57
"Korea,Republic of",Asia,,2011-02,4372,14118,1813,277,624,0,0,1148,838
Argentina,America,,2011-02,15,7,22,2,2,0,0,5,9
Philippines,Asia,Southeast Asia,2011-02,1490,1314,646,126,155,0,0,1775,1383
"Others, America",America,,2011-02,88,129,108,22,299,0,0,37,16
Austria,Europe,,2011-02,149,185,102,3,15,0,0,15,31
France,Europe,,2011-02,826,448,489,37,243,0,0,179,37
Mainland China,Asia,,2011-02,6052,85178,11243,1345,1623,0,0,6450,3954
Unstated,,,2011-02,3,3,6,0,1,0,0,3,2781
S. Africa,Africa,,2011-02,279,42,155,2,11,0,0,25,10
"Others, Oceania",Oceania,,2011-02,13,5,11,0,10,0,0,7,2
New Zealand,Oceania,,2011-02,190,179,164,10,5,0,0,29,14
Australia,Oceania,,2011-02,949,2497,850,97,48,0,0,223,118
"Others, Europe",Europe,,2011-02,761,582,289,22,202,0,0,256,99
Belgium,Europe,,2011-02,139,47,32,0,12,0,0,19,10
Russian Federation,Europe,,2011-02,211,46,56,12,73,0,0,82,28
Greece,Europe,,2011-02,50,8,7,0,1,0,0,27,4
United Kingdom,Europe,,2011-02,1430,1676,445,41,41,0,0,172,73
Spain,Europe,,2011-02,162,61,46,7,33,0,0,29,12
Switzerland,Europe,,2011-02,284,120,89,6,18,0,0,23,10
Netherlands,Europe,,2011-02,494,238,133,8,38,0,0,64,43
Italy,Europe,,2011-02,514,96,78,17,26,0,0,81,31
Germany,Europe,,2011-02,1869,1242,481,33,119,0,0,143,104
Sweden,Europe,,2011-02,310,101,81,26,40,0,0,25,10
HongKong. Macao,Asia,,2011-02,4722,39948,3165,375,1154,0,0,7775,8442
"Others, Africa",Africa,,2011-02,87,7,35,11,50,0,0,21,20
Unstated,,,2011-03,1,2,8,0,1,0,0,11,3140
Mexico,America,,2011-03,103,57,16,10,12,0,0,31,2
United States of America,America,,2011-03,12587,8875,10616,504,304,0,0,2471,164
Canada,America,,2011-03,1285,2934,1510,105,29,0,0,368,30
"Others, Asia",Asia,,2011-03,465,212,326,46,72,0,0,518,60
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,982,564,2213,86,204,0,0,4953,426
Thailand,Asia,Southeast Asia,2011-03,2186,2704,1018,190,356,0,0,3827,119
Philippines,Asia,Southeast Asia,2011-03,1237,1639,534,245,27,0,0,2841,184
Indonesia,Asia,Southeast Asia,2011-03,1060,3429,677,112,109,0,0,8247,353
Singapore,Asia,Southeast Asia,2011-03,4341,16315,973,405,54,0,0,2291,39
Malaysia,Asia,Southeast Asia,2011-03,2313,23506,1373,355,214,0,0,1581,48
Middle East,Asia,,2011-03,889,100,50,32,14,0,0,200,2
India,Asia,,2011-03,1390,91,180,180,42,0,0,399,25
"Korea,Republic of",Asia,,2011-03,6434,9687,865,385,171,0,0,1887,102
Japan,Asia,,2011-03,24442,80112,4794,780,360,0,0,3713,151
Mainland China,Asia,,2011-03,9531,122200,9639,1487,558,0,0,5200,5034
Brazil,America,,2011-03,258,77,36,23,2,0,0,41,8
Argentina,America,,2011-03,50,14,9,3,3,0,0,22,5
HongKong. Macao,Asia,,2011-03,6908,37678,1996,544,124,0,0,6845,4051
Belgium,Europe,,2011-03,251,127,46,25,7,0,0,49,1
"Others, America",America,,2011-03,212,67,71,30,104,0,0,153,14
S. Africa,Africa,,2011-03,211,56,74,6,5,0,0,30,2
"Others, Oceania",Oceania,,2011-03,18,8,13,7,6,0,0,11,1
New Zealand,Oceania,,2011-03,239,196,220,30,13,0,0,60,3
Australia,Oceania,,2011-03,1513,1829,740,238,30,0,0,482,14
"Others, Europe",Europe,,2011-03,1260,575,156,106,63,0,0,484,25
Russian Federation,Europe,,2011-03,272,72,28,43,19,0,0,103,6
Sweden,Europe,,2011-03,437,141,56,31,12,0,0,46,2
"Others, Africa",Africa,,2011-03,152,17,28,24,15,0,0,50,3
Austria,Europe,,2011-03,245,370,83,27,9,0,0,100,0
United Kingdom,Europe,,2011-03,2026,1165,361,126,20,0,0,329,11
Spain,Europe,,2011-03,339,96,44,25,10,0,0,109,2
Switzerland,Europe,,2011-03,395,125,82,14,7,0,0,52,0
Netherlands,Europe,,2011-03,784,267,93,28,9,0,0,163,3
Italy,Europe,,2011-03,1013,114,72,46,10,0,0,285,8
Germany,Europe,,2011-03,2471,837,266,120,63,0,0,305,7
Greece,Europe,,2011-03,41,2,4,1,0,0,0,36,8
France,Europe,,2011-03,1327,492,328,77,51,0,0,241,5
Spain,Europe,,2011-04,187,143,46,25,28,0,0,64,2
United Kingdom,Europe,,2011-04,1412,1502,657,98,18,0,0,277,21
Austria,Europe,,2011-04,161,219,55,11,3,0,0,75,0
Greece,Europe,,2011-04,40,14,7,0,0,0,0,31,3
Sweden,Europe,,2011-04,297,162,87,14,20,0,0,51,3
Russian Federation,Europe,,2011-04,331,55,29,58,6,0,0,226,6
"Others, Oceania",Oceania,,2011-04,13,3,3,23,7,0,0,14,0
Australia,Oceania,,2011-04,1177,2955,1047,152,55,0,0,422,23
New Zealand,Oceania,,2011-04,242,253,244,32,6,0,0,50,1
Switzerland,Europe,,2011-04,276,159,108,23,10,0,0,37,6
S. Africa,Africa,,2011-04,201,41,100,4,2,0,0,28,10
"Others, Africa",Africa,,2011-04,222,16,32,21,17,0,0,83,0
Unstated,,,2011-04,1,17,12,0,0,0,0,14,2731
Japan,Asia,,2011-04,24029,55444,3443,809,227,0,0,2711,80
Mainland China,Asia,,2011-04,11005,158742,8939,2093,116,0,0,7347,5215
"Others, Europe",Europe,,2011-04,899,793,162,118,61,0,0,452,20
Netherlands,Europe,,2011-04,555,271,150,38,16,0,0,98,2
Belgium,Europe,,2011-04,151,159,41,11,8,0,0,19,6
Germany,Europe,,2011-04,1882,998,376,114,55,0,0,291,10
HongKong. Macao,Asia,,2011-04,5699,62408,2696,479,160,0,0,9197,5898
Middle East,Asia,,2011-04,853,92,98,53,15,0,0,232,4
Malaysia,Asia,Southeast Asia,2011-04,2272,19628,1473,344,198,0,0,1310,49
Singapore,Asia,Southeast Asia,2011-04,3938,15880,1076,371,34,0,0,2105,145
Indonesia,Asia,Southeast Asia,2011-04,1207,1747,783,125,99,0,0,6778,311
Philippines,Asia,Southeast Asia,2011-04,1693,2886,941,144,216,0,0,3792,234
Thailand,Asia,Southeast Asia,2011-04,2330,3481,1454,180,204,0,0,4052,156
"Others, Southeast Asia",Asia,Southeast Asia,2011-04,1082,582,2016,89,148,0,0,4594,397
"Others, Asia",Asia,,2011-04,290,110,245,35,38,0,0,284,5
Canada,America,,2011-04,1075,2461,1310,68,47,0,0,297,23
Mexico,America,,2011-04,92,47,15,4,10,0,0,32,0
Brazil,America,,2011-04,197,75,38,16,4,0,0,57,6
Argentina,America,,2011-04,35,18,8,1,2,0,0,16,1
"Others, America",America,,2011-04,240,79,102,41,58,0,0,92,7
France,Europe,,2011-04,866,576,469,88,119,0,0,236,7
Italy,Europe,,2011-04,555,112,66,35,7,0,0,119,4
United States of America,America,,2011-04,11013,9165,11563,560,247,0,0,2171,181
"Korea,Republic of",Asia,,2011-04,5796,9482,899,566,163,0,0,1685,65
India,Asia,,2011-04,1219,109,166,135,20,0,0,368,24
Middle East,Asia,,2011-05,1007,94,65,65,8,0,0,205,4
Belgium,Europe,,2011-05,197,73,32,11,8,0,0,25,2
"Others, America",America,,2011-05,207,71,75,38,69,0,0,111,10
Argentina,America,,2011-05,52,30,5,7,0,0,0,32,1
Brazil,America,,2011-05,240,61,55,11,8,0,0,80,2
Mexico,America,,2011-05,89,43,13,9,7,0,0,41,0
United States of America,America,,2011-05,12077,7235,11026,730,410,0,0,2795,169
Canada,America,,2011-05,1126,2219,1073,118,64,0,0,267,14
"Others, Asia",Asia,,2011-05,314,127,169,33,29,0,0,281,8
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,971,414,2079,117,144,0,0,5092,390
Thailand,Asia,Southeast Asia,2011-05,1863,1788,745,172,102,0,0,3626,88
Philippines,Asia,Southeast Asia,2011-05,1546,1731,731,158,32,0,0,5283,270
Indonesia,Asia,Southeast Asia,2011-05,1129,1337,715,84,95,0,0,7173,408
Singapore,Asia,Southeast Asia,2011-05,4153,15211,1098,343,101,0,0,1327,42
France,Europe,,2011-05,1228,532,297,67,101,0,0,243,4
Germany,Europe,,2011-05,2472,882,218,92,30,0,0,225,10
Italy,Europe,,2011-05,688,162,57,37,5,0,0,145,11
Netherlands,Europe,,2011-05,603,247,71,30,20,0,0,97,2
Unstated,,,2011-05,2,9,5,0,0,0,0,9,3690
"Others, Africa",Africa,,2011-05,194,14,41,20,17,0,0,69,1
S. Africa,Africa,,2011-05,190,59,60,6,3,0,0,26,0
"Others, Oceania",Oceania,,2011-05,28,10,14,12,4,0,0,30,7
New Zealand,Oceania,,2011-05,259,170,158,28,3,0,0,54,5
Australia,Oceania,,2011-05,1246,1391,663,187,18,0,0,333,18
Malaysia,Asia,Southeast Asia,2011-05,2189,18335,1469,330,238,0,0,1220,49
"Others, Europe",Europe,,2011-05,1083,498,140,94,58,0,0,467,23
Sweden,Europe,,2011-05,332,80,54,16,15,0,0,56,0
Greece,Europe,,2011-05,41,3,6,4,0,0,0,47,3
Austria,Europe,,2011-05,223,134,49,9,6,0,0,25,1
United Kingdom,Europe,,2011-05,1759,948,294,116,36,0,0,263,11
Spain,Europe,,2011-05,254,118,35,35,17,0,0,59,1
Switzerland,Europe,,2011-05,335,139,62,19,9,0,0,26,2
Russian Federation,Europe,,2011-05,310,94,30,24,27,0,0,270,9
India,Asia,,2011-05,1298,82,176,198,47,0,0,474,22
"Korea,Republic of",Asia,,2011-05,5680,11514,879,384,221,0,0,1648,87
Japan,Asia,,2011-05,24481,57500,2410,812,368,0,0,2353,60
Mainland China,Asia,,2011-05,12990,113292,8513,1909,255,0,0,8213,5307
HongKong. Macao,Asia,,2011-05,6467,37388,1872,533,140,0,0,5123,3542
S. Africa,Africa,,2011-06,118,49,82,6,1,0,0,28,3
Canada,America,,2011-06,974,1715,1088,95,62,0,0,285,18
"Others, Asia",Asia,,2011-06,228,93,199,37,37,0,0,275,9
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,1007,536,2185,53,148,0,0,5416,433
Thailand,Asia,Southeast Asia,2011-06,2025,1029,642,222,112,0,0,4861,161
Philippines,Asia,Southeast Asia,2011-06,1537,1399,560,164,39,0,0,5807,434
Indonesia,Asia,Southeast Asia,2011-06,1236,2804,1054,66,168,0,0,8210,544
Singapore,Asia,Southeast Asia,2011-06,3997,18700,1271,297,80,0,0,1218,27
Middle East,Asia,,2011-06,804,123,87,40,37,0,0,196,4
United States of America,America,,2011-06,10449,8469,15095,651,627,0,0,3182,290
India,Asia,,2011-06,1086,111,198,144,47,0,0,350,29
"Korea,Republic of",Asia,,2011-06,5799,10960,945,488,189,0,0,1712,68
Japan,Asia,,2011-06,27038,57731,2565,885,283,0,0,2539,48
Mainland China,Asia,,2011-06,12270,76397,9148,2096,126,0,0,7723,6675
HongKong. Macao,Asia,,2011-06,6527,53501,2601,587,164,0,0,7588,3955
Malaysia,Asia,Southeast Asia,2011-06,2252,15448,1711,290,177,0,0,1230,69
"Others, Oceania",Oceania,,2011-06,22,16,11,6,3,0,0,35,0
Mexico,America,,2011-06,54,23,14,6,12,0,0,22,1
Argentina,America,,2011-06,16,8,12,3,1,0,0,11,1
"Others, Africa",Africa,,2011-06,163,16,43,32,12,0,0,63,1
New Zealand,Oceania,,2011-06,197,206,176,28,3,0,0,59,1
Australia,Oceania,,2011-06,1075,1610,721,177,26,0,0,421,17
"Others, Europe",Europe,,2011-06,819,779,180,107,63,0,0,360,59
Russian Federation,Europe,,2011-06,247,55,25,19,31,0,0,212,4
Sweden,Europe,,2011-06,236,150,95,7,15,0,0,55,7
Greece,Europe,,2011-06,49,5,4,3,0,0,0,24,8
Austria,Europe,,2011-06,166,76,55,13,5,0,0,28,2
United Kingdom,Europe,,2011-06,1620,826,320,110,40,0,0,201,23
Spain,Europe,,2011-06,177,96,73,33,22,0,0,57,1
Switzerland,Europe,,2011-06,264,105,37,22,8,0,0,45,2
Netherlands,Europe,,2011-06,508,224,95,15,18,0,0,91,2
Italy,Europe,,2011-06,551,105,84,55,24,0,0,120,12
Germany,Europe,,2011-06,1668,477,288,110,34,0,0,167,17
France,Europe,,2011-06,923,362,404,86,112,0,0,171,7
Belgium,Europe,,2011-06,191,71,51,12,1,0,0,22,1
"Others, America",America,,2011-06,151,94,72,40,74,0,0,120,7
Brazil,America,,2011-06,144,46,30,8,5,0,0,35,7
Unstated,,,2011-06,1,9,14,0,0,0,0,9,3678
"Others, Europe",Europe,,2011-07,617,841,167,186,120,0,0,571,27
Mainland China,Asia,,2011-07,10388,90483,11773,1662,889,0,0,9761,11012
"Others, America",America,,2011-07,116,102,97,27,73,0,0,225,7
Argentina,America,,2011-07,12,7,11,2,8,0,0,21,3
Brazil,America,,2011-07,134,64,68,9,4,0,0,77,2
Mexico,America,,2011-07,66,65,20,7,11,0,0,80,0
United States of America,America,,2011-07,9557,8445,13588,615,638,0,0,2956,230
Canada,America,,2011-07,932,2600,1707,58,64,0,0,365,35
Belgium,Europe,,2011-07,133,168,61,11,19,0,0,30,3
HongKong. Macao,Asia,,2011-07,5576,50764,2582,499,195,0,0,7763,6403
Thailand,Asia,Southeast Asia,2011-07,1963,1332,758,198,158,0,0,3188,137
Philippines,Asia,Southeast Asia,2011-07,1538,808,590,122,36,0,0,4629,285
Indonesia,Asia,Southeast Asia,2011-07,1455,1534,806,87,156,0,0,7624,563
Singapore,Asia,Southeast Asia,2011-07,3813,11751,1006,377,49,0,0,990,23
Malaysia,Asia,Southeast Asia,2011-07,1998,10214,1449,325,431,0,0,1051,53
Middle East,Asia,,2011-07,648,93,78,72,18,0,0,134,11
"Others, Southeast Asia",Asia,Southeast Asia,2011-07,1102,637,2381,74,334,0,0,4542,410
India,Asia,,2011-07,1189,97,205,54,38,0,0,334,44
France,Europe,,2011-07,818,699,615,55,128,0,0,271,15
Italy,Europe,,2011-07,574,142,95,19,43,0,0,149,1
Unstated,,,2011-07,2,2,14,0,0,0,0,24,2400
"Others, Africa",Africa,,2011-07,134,23,49,42,23,0,0,114,2
S. Africa,Africa,,2011-07,180,62,77,12,5,0,0,36,10
"Others, Oceania",Oceania,,2011-07,14,17,13,9,7,0,0,45,4
New Zealand,Oceania,,2011-07,186,211,233,23,2,0,0,68,4
Australia,Oceania,,2011-07,955,2059,765,128,47,0,0,521,17
Germany,Europe,,2011-07,1871,711,438,45,101,0,0,201,16
Russian Federation,Europe,,2011-07,191,46,24,15,54,0,0,153,8
Greece,Europe,,2011-07,37,6,6,5,3,0,0,37,4
Austria,Europe,,2011-07,169,237,121,9,20,0,0,81,2
United Kingdom,Europe,,2011-07,1393,1252,506,92,26,0,0,225,19
Spain,Europe,,2011-07,180,129,75,18,31,0,0,98,5
Switzerland,Europe,,2011-07,225,178,141,11,11,0,0,44,7
Netherlands,Europe,,2011-07,441,551,166,13,24,0,0,156,7
Sweden,Europe,,2011-07,158,167,69,5,15,0,0,39,1
"Korea,Republic of",Asia,,2011-07,4703,9307,1255,316,404,0,0,1622,145
"Others, Asia",Asia,,2011-07,156,97,202,27,40,0,0,309,8
Japan,Asia,,2011-07,25102,61458,3598,858,409,0,0,2535,49
"Others, Africa",Africa,,2011-08,88,37,50,11,139,0,0,69,1
United States of America,America,,2011-08,9788,6424,11228,502,589,0,0,2391,170
Canada,America,,2011-08,967,2075,1286,78,83,0,0,286,22
"Others, Asia",Asia,,2011-08,119,90,126,59,152,0,0,252,5
"Others, Southeast Asia",Asia,Southeast Asia,2011-08,947,532,2310,79,548,0,0,4600,371
Thailand,Asia,Southeast Asia,2011-08,1879,1079,720,124,242,0,0,3759,166
Philippines,Asia,Southeast Asia,2011-08,1642,995,664,196,83,0,0,4131,252
Indonesia,Asia,Southeast Asia,2011-08,1162,6179,1131,88,456,0,0,7901,305
S. Africa,Africa,,2011-08,221,47,131,21,7,0,0,52,2
Malaysia,Asia,Southeast Asia,2011-08,1774,16430,1575,398,1144,0,0,1500,56
Middle East,Asia,,2011-08,523,97,112,14,45,0,0,180,6
India,Asia,,2011-08,1078,82,239,141,49,0,0,267,62
"Korea,Republic of",Asia,,2011-08,4604,12446,1446,458,429,0,0,1891,74
Japan,Asia,,2011-08,23644,84212,5280,823,841,0,0,2865,85
Mainland China,Asia,,2011-08,9643,95529,10804,1711,752,0,0,11391,8843
HongKong. Macao,Asia,,2011-08,6043,56468,2275,480,517,0,0,8591,6682
Mexico,America,,2011-08,53,29,22,12,40,0,0,22,2
Brazil,America,,2011-08,116,43,26,2,51,0,0,29,4
Singapore,Asia,Southeast Asia,2011-08,3965,9900,998,356,119,0,0,1678,30
"Others, America",America,,2011-08,126,86,96,53,449,0,0,160,10
Argentina,America,,2011-08,15,7,14,0,5,0,0,11,7
Unstated,,,2011-08,1,3,15,0,4,0,0,13,3461
"Others, Oceania",Oceania,,2011-08,17,34,8,9,38,0,0,19,5
New Zealand,Oceania,,2011-08,178,164,131,36,14,0,0,52,1
Australia,Oceania,,2011-08,1011,1254,597,94,38,0,0,374,15
"Others, Europe",Europe,,2011-08,608,834,195,72,181,0,0,418,37
Sweden,Europe,,2011-08,204,85,56,10,50,0,0,38,3
Greece,Europe,,2011-08,32,4,7,3,1,0,0,13,5
Russian Federation,Europe,,2011-08,169,60,48,22,67,0,0,63,3
France,Europe,,2011-08,640,708,519,37,181,0,0,240,9
United Kingdom,Europe,,2011-08,1265,1164,463,80,48,0,0,265,21
Spain,Europe,,2011-08,96,154,89,11,37,0,0,93,2
Switzerland,Europe,,2011-08,218,118,71,4,17,0,0,25,4
Netherlands,Europe,,2011-08,432,414,170,15,35,0,0,147,3
Italy,Europe,,2011-08,368,172,114,13,41,0,0,104,10
Germany,Europe,,2011-08,1646,760,479,62,176,0,0,205,13
Austria,Europe,,2011-08,143,192,88,11,32,0,0,54,1
Belgium,Europe,,2011-08,131,83,41,8,19,0,0,18,1
"Others, Asia",Asia,,2011-09,220,139,198,141,348,0,0,254,5
Canada,America,,2011-09,1018,1749,1000,55,61,0,0,201,16
United States of America,America,,2011-09,10314,6261,8265,497,390,0,0,1849,159
"Others, America",America,,2011-09,132,85,86,37,353,0,0,68,7
Brazil,America,,2011-09,112,35,33,12,12,0,0,24,5
Argentina,America,,2011-09,22,8,8,5,3,0,0,14,3
"Others, Southeast Asia",Asia,Southeast Asia,2011-09,904,358,1751,118,1067,0,0,4223,333
Mexico,America,,2011-09,64,19,19,3,12,0,0,15,0
Thailand,Asia,Southeast Asia,2011-09,1727,1251,612,208,250,0,0,3611,117
Mainland China,Asia,,2011-09,11162,73622,10273,1679,3799,0,0,12113,9926
Indonesia,Asia,Southeast Asia,2011-09,1798,2010,877,134,763,0,0,8171,373
Singapore,Asia,Southeast Asia,2011-09,3872,12741,1021,424,182,0,0,1081,17
Malaysia,Asia,Southeast Asia,2011-09,1934,13139,1395,434,3470,0,0,1001,59
Middle East,Asia,,2011-09,595,108,73,63,94,0,0,188,8
India,Asia,,2011-09,1068,98,181,239,141,0,0,336,28
"Korea,Republic of",Asia,,2011-09,4763,9331,981,620,557,0,0,1631,113
Japan,Asia,,2011-09,25324,90172,2858,949,634,0,0,2873,98
Belgium,Europe,,2011-09,161,92,42,6,12,0,0,27,1
Philippines,Asia,Southeast Asia,2011-09,1396,1047,507,254,111,0,0,4057,293
France,Europe,,2011-09,891,448,290,60,254,0,0,195,4
HongKong. Macao,Asia,,2011-09,5462,33825,2192,492,902,0,0,6001,6834
Italy,Europe,,2011-09,512,120,71,19,33,0,0,101,3
Unstated,,,2011-09,2,11,11,0,0,0,0,11,3385
"Others, Africa",Africa,,2011-09,110,17,43,37,149,0,0,48,4
S. Africa,Africa,,2011-09,136,44,70,13,10,0,0,18,6
"Others, Oceania",Oceania,,2011-09,15,18,5,13,19,0,0,21,4
New Zealand,Oceania,,2011-09,220,226,220,41,3,0,0,49,4
Australia,Oceania,,2011-09,1029,2050,966,185,33,0,0,411,14
"Others, Europe",Europe,,2011-09,795,623,135,84,200,0,0,412,27
Germany,Europe,,2011-09,1834,708,242,87,144,0,0,219,16
Sweden,Europe,,2011-09,314,76,35,11,51,0,0,33,1
Greece,Europe,,2011-09,55,4,5,2,0,0,0,28,7
Austria,Europe,,2011-09,183,127,55,10,20,0,0,38,1
United Kingdom,Europe,,2011-09,1423,901,363,91,30,0,0,180,5
Spain,Europe,,2011-09,160,100,69,17,33,0,0,147,0
Switzerland,Europe,,2011-09,231,120,47,13,21,0,0,29,1
Netherlands,Europe,,2011-09,507,277,93,18,46,0,0,139,2
Russian Federation,Europe,,2011-09,204,45,37,25,92,0,0,99,1
Brazil,America,,2011-10,223,90,40,22,3,0,0,52,1
Mexico,America,,2011-10,92,35,17,21,3,0,0,24,1
United States of America,America,,2011-10,12224,11543,10304,894,151,0,0,2407,176
Canada,America,,2011-10,1175,3532,1382,147,29,0,0,435,21
"Others, Asia",Asia,,2011-10,299,138,243,89,63,0,0,273,5
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,976,980,1953,180,252,0,0,4209,274
Thailand,Asia,Southeast Asia,2011-10,1716,2801,832,269,109,0,0,3071,123
Singapore,Asia,Southeast Asia,2011-10,4021,17371,1201,377,108,0,0,2014,40
Indonesia,Asia,Southeast Asia,2011-10,1531,4830,817,189,110,0,0,6902,323
Argentina,America,,2011-10,41,12,16,2,2,0,0,14,2
Malaysia,Asia,Southeast Asia,2011-10,2061,19873,1539,370,210,0,0,1151,52
Middle East,Asia,,2011-10,809,135,47,103,13,0,0,140,4
India,Asia,,2011-10,1054,96,194,168,48,0,0,368,33
"Korea,Republic of",Asia,,2011-10,5039,9479,895,608,174,0,0,1562,102
Japan,Asia,,2011-10,26166,79515,2872,1040,282,0,0,2513,62
Philippines,Asia,Southeast Asia,2011-10,1516,2700,544,319,55,0,0,4582,256
"Others, America",America,,2011-10,235,112,72,53,71,0,0,168,3
Italy,Europe,,2011-10,827,121,77,65,19,0,0,148,3
France,Europe,,2011-10,1255,818,419,135,122,0,0,325,9
Unstated,,,2011-10,1,23,5,0,0,0,0,11,3541
"Others, Africa",Africa,,2011-10,218,70,40,63,32,0,0,110,1
S. Africa,Africa,,2011-10,180,51,62,23,2,0,0,26,3
"Others, Oceania",Oceania,,2011-10,20,10,9,26,8,0,0,29,1
New Zealand,Oceania,,2011-10,209,234,207,34,3,0,0,58,7
Australia,Oceania,,2011-10,1242,2697,897,191,18,0,0,440,17
"Others, Europe",Europe,,2011-10,1192,844,156,166,61,0,0,501,32
Belgium,Europe,,2011-10,209,112,55,21,6,0,0,37,2
Russian Federation,Europe,,2011-10,250,64,34,56,12,0,0,157,5
Greece,Europe,,2011-10,49,7,3,7,0,0,0,18,4
Mainland China,Asia,,2011-10,11379,115625,9338,2095,279,0,0,13124,11450
United Kingdom,Europe,,2011-10,1744,1219,438,162,23,0,0,278,16
Spain,Europe,,2011-10,351,138,52,31,28,0,0,86,0
Switzerland,Europe,,2011-10,362,223,66,24,9,0,0,29,1
Netherlands,Europe,,2011-10,700,409,126,39,23,0,0,209,1
Germany,Europe,,2011-10,2610,1133,390,154,58,0,0,453,6
Sweden,Europe,,2011-10,420,202,49,31,15,0,0,59,2
Austria,Europe,,2011-10,251,196,79,24,9,0,0,68,4
HongKong. Macao,Asia,,2011-10,5878,40801,2204,536,96,0,0,6249,5869
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,1170,398,1494,226,156,0,0,3519,260
Argentina,America,,2011-11,47,15,7,7,2,0,0,11,2
Mexico,America,,2011-11,60,25,12,8,4,0,0,16,1
United States of America,America,,2011-11,11153,9582,11146,1089,207,0,0,2106,185
Canada,America,,2011-11,1252,3699,1306,126,48,0,0,332,17
"Others, Asia",Asia,,2011-11,191,187,257,130,58,0,0,306,5
Thailand,Asia,Southeast Asia,2011-11,1799,1644,551,274,71,0,0,2510,70
